pdf, link,size,txt,link,size
1909-1910.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1909-1910.pdf,1.4G,1909-1910.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1909-1910.txt, 33M
1910-1911.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1910-1911.pdf,1.3G,1910-1911.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1910-1911.txt, 43M
1911-1912.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1911-1912.pdf,2.1G,1911-1912.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1911-1912.txt, 40M
1912-1913.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1912-1913.pdf,1.5G,1912-1913.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1912-1913.txt, 38M
1913-1914.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1913-1914.pdf,1.5G,1913-1914.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1913-1914.txt, 38M
1915.pt1.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1915.pt1.pdf,1.4G,1915.pt1.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1915.pt1.txt, 52M
1915.pt2.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1915.pt2.pdf,924M,1915.pt2.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1915.pt2.txt, 31M
1916.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1916.pdf,2.3G,1916.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1916.txt, 93M
1917.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1917.pdf,2.6G,1917.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1917.txt,124M
1918.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1918.pdf,3.8G,1918.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1918.txt,113M
1919-1920.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1919-1920.pdf,2.0G,1919-1920.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1919-1920.txt, 59M
1920.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1920.pdf,2.6G,1920.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1920.txt, 95M
1923.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1923.pdf,2.3G,1923.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1923.txt, 84M
